Symbol,Environment Risk Score,Social Risk Score,Governance Risk Score
A,0.3,8.6,0.3
AA,14.3,5.9,14.3
AAL,11.5,12.3,11.5
AAP,0.1,8.3,0.1
AAPL,0.6,6.9,0.6
ABBV,1.1,16.8,1.1
ABC,1.3,5.6,1.3
ABT,3.0,13.6,3.0
ACGL,1.5,7.3,1.5
ACM,6.9,13.0,6.9
ACN,0.3,4.6,0.3
ADBE,1.9,5.9,1.9
ADI,10.1,7.7,10.1
ADM,18.2,13.2,18.2
ADP,1.1,7.0,1.1
ADSK,3.4,8.2,3.4
ADX,3.6,10.2,3.6
AEE,14.0,10.0,14.0
AEF,5.0,9.0,5.0
AEM,9.0,9.0,9.0
AEP,13.0,8.0,13.0
AER,6.0,8.0,6.0
AES,16.0,11.0,16.0
AFG,3.0,10.0,3.0
AFL,0.0,7.0,0.0
AGD,5.0,10.0,5.0
AGNC,7.0,3.0,7.0
AIG,2.0,10.0,2.0
AIV,7.0,5.0,7.0
AIZ,2.0,12.0,2.0
AJG,0.0,11.0,0.0
AKAM,3.0,7.0,3.0
ALB,16.0,6.0,16.0
ALKS,2.0,16.0,2.0
ALL,1.0,8.0,1.0
ALLE,13.0,5.0,13.0
ALLY,0.0,11.0,0.0
ALV,5.0,5.0,5.0
AMAT,4.0,3.0,4.0
AME,9.0,9.0,9.0
AMG,1.0,8.0,1.0
AMGN,1.0,13.0,1.0
AMP,3.0,7.0,3.0
AMT,2.0,4.0,2.0
AMZN,6.0,15.0,6.0
ANET,0.0,9.0,0.0
ANSS,1.0,7.0,1.0
AOD,5.0,10.0,5.0
AOS,7.0,12.0,7.0
APA,22.0,9.0,22.0
APD,6.0,1.0,6.0
APH,8.0,5.0,8.0
APTV,2.0,4.0,2.0
AR,0.0,0.0,0.0
ARE,4.0,4.0,4.0
ARMK,7.0,15.0,7.0
ARW,3.0,3.0,3.0
ASG,3.0,8.0,3.0
ASH,19.0,8.0,19.0
ATO,15.0,13.0,15.0
ATVI,0.0,12.0,0.0
AVB,3.0,3.0,3.0
AVGO,9.0,7.0,9.0
AVK,4.0,8.0,4.0
AVT,2.0,3.0,2.0
AVY,11.0,1.0,11.0
AWK,9.0,8.0,9.0
AWP,4.0,4.0,4.0
AXP,0.0,8.0,0.0
AXS,2.0,11.0,2.0
AXTA,14.0,7.0,14.0
AYI,7.0,9.0,7.0
AZO,0.0,7.0,0.0
BA,7.0,20.0,7.0
BAC,2.0,14.0,2.0
BAH,1.0,9.0,1.0
BALL,6.0,1.0,6.0
BAM,0.0,9.0,0.0
BAP,3.0,10.0,3.0
BAX,3.0,14.0,3.0
BBWI,3.0,8.0,3.0
BBY,2.0,7.0,2.0
BCE,3.0,10.0,3.0
BCV,0.0,0.0,0.0
BDJ,5.0,11.0,5.0
BDX,4.0,16.0,4.0
BEN,1.0,10.0,1.0
BEP,2.0,9.0,2.0
BFH,1.0,12.0,1.0
BG,15.0,14.0,15.0
BGR,16.0,10.0,16.0
BGY,4.0,10.0,4.0
BHC,5.0,18.0,5.0
BIDU,3.0,13.0,3.0
BIIB,0.0,13.0,0.0
BIO,1.0,8.0,1.0
BK,1.0,9.0,1.0
BKNG,2.0,12.0,2.0
BLK,1.0,10.0,1.0
BME,2.0,14.0,2.0
BMO,2.0,7.0,2.0
BMRN,1.0,17.0,1.0
BMY,0.0,15.0,0.0
BNS,1.0,10.0,1.0
BOE,4.0,10.0,4.0
BOKF,2.0,9.0,2.0
BPYPP,6.0,9.0,6.0
BR,1.0,9.0,1.0
BRO,0.0,11.0,0.0
BRX,4.0,3.0,4.0
BST,2.0,9.0,2.0
BSX,3.0,13.0,3.0
BTO,0.0,0.0,0.0
BWA,3.0,4.0,3.0
BX,3.0,10.0,3.0
BXMX,4.0,10.0,4.0
BXP,3.0,5.0,3.0
C,2.0,13.0,2.0
CAF,4.0,12.0,4.0
CAG,11.0,16.0,11.0
CAH,2.0,6.0,2.0
CAT,7.0,19.0,7.0
CB,2.0,12.0,2.0
CBOE,3.0,8.0,3.0
CBRE,1.0,2.0,1.0
CBSH,2.0,9.0,2.0
CCD,4.0,9.0,4.0
CCI,5.0,3.0,5.0
CCK,6.0,1.0,6.0
CCL,10.0,10.0,10.0
CDNS,1.0,6.0,1.0
CDW,2.0,3.0,2.0
CE,15.0,8.0,15.0
CEE,10.0,9.0,10.0
CERS,4.0,10.0,4.0
CET,3.0,9.0,3.0
CF,17.0,8.0,17.0
CFG,2.0,10.0,2.0
CFR,2.0,13.0,2.0
CGO,5.0,10.0,5.0
CHD,7.0,7.0,7.0
CHI,4.0,9.0,4.0
CHK,22.0,11.0,22.0
CHKP,5.0,12.0,5.0
CHN,4.0,10.0,4.0
CHRW,5.0,9.0,5.0
CHTR,6.0,13.0,6.0
CHW,5.0,10.0,5.0
CHY,4.0,9.0,4.0
CI,0.0,6.0,0.0
CII,4.0,11.0,4.0
CINF,2.0,11.0,2.0
CL,6.0,9.0,6.0
CLM,3.0,10.0,3.0
CLX,6.0,9.0,6.0
CM,2.0,8.0,2.0
CMA,2.0,11.0,2.0
CMCSA,5.0,12.0,5.0
CME,2.0,6.0,2.0
CMG,6.0,13.0,6.0
CMI,6.0,8.0,6.0
CMS,10.0,6.0,10.0
CNA,2.0,12.0,2.0
CNC,0.0,13.0,0.0
CNHI,5.0,5.0,5.0
CNI,6.0,7.0,6.0
CNP,11.0,10.0,11.0
CNQ,18.0,8.0,18.0
COF,0.0,13.0,0.0
COMM,0.0,0.0,0.0
COO,3.0,11.0,3.0
COP,17.0,10.0,17.0
COST,7.0,11.0,7.0
COTY,11.0,9.0,11.0
CP,6.0,8.0,6.0
CPB,11.0,8.0,11.0
CPG,22.0,10.0,22.0
CPRI,1.0,9.0,1.0
CPRT,2.0,11.0,2.0
CPT,4.0,4.0,4.0
CPZ,5.0,10.0,5.0
CRF,3.0,10.0,3.0
CRM,2.0,6.0,2.0
CSCO,0.0,6.0,0.0
CSGP,5.0,13.0,5.0
CSL,11.0,4.0,11.0
CSX,7.0,9.0,7.0
CTAS,3.0,9.0,3.0
CTR,0.0,0.0,0.0
CTRA,24.0,13.0,24.0
CTSH,1.0,8.0,1.0
CUBA,0.0,0.0,0.0
CVE,23.0,10.0,23.0
CVS,0.0,16.0,0.0
CVX,19.0,9.0,19.0
D,11.0,9.0,11.0
DAL,10.0,11.0,10.0
DB,1.0,12.0,1.0
DCI,11.0,15.0,11.0
DD,13.0,8.0,13.0
DE,3.0,7.0,3.0
DEI,5.0,5.0,5.0
DELL,1.0,9.0,1.0
DFP,2.0,10.0,2.0
DFS,0.0,12.0,0.0
DG,3.0,9.0,3.0
DGX,0.0,13.0,0.0
DHI,9.0,7.0,9.0
DHR,1.0,5.0,1.0
DIAX,3.0,12.0,3.0
DIS,0.0,8.0,0.0
DISH,2.0,10.0,2.0
DKS,3.0,7.0,3.0
DLR,3.0,3.0,3.0
DLTR,3.0,7.0,3.0
DNP,11.0,9.0,11.0
DOV,7.0,12.0,7.0
DOX,1.0,6.0,1.0
DPZ,8.0,17.0,8.0
DRI,8.0,15.0,8.0
DTE,15.0,10.0,15.0
DUK,14.0,9.0,14.0
DVA,0.0,14.0,0.0
DVN,21.0,8.0,21.0
DXC,1.0,10.0,1.0
DXCM,5.0,10.0,5.0
EA,0.0,6.0,0.0
EBAY,1.0,9.0,1.0
ECF,0.0,0.0,0.0
ECL,9.0,8.0,9.0
ED,7.0,9.0,7.0
EDU,0.0,9.0,0.0
EEA,4.0,9.0,4.0
EFX,0.0,19.0,0.0
EIX,11.0,11.0,11.0
EL,7.0,11.0,7.0
ELV,0.0,6.0,0.0
EMF,4.0,10.0,4.0
EMN,12.0,5.0,12.0
EMR,10.0,12.0,10.0
ENB,9.0,9.0,9.0
EOD,5.0,9.0,5.0
EOG,20.0,8.0,20.0
EOI,4.0,11.0,4.0
EOS,3.0,10.0,3.0
EQIX,3.0,4.0,3.0
EQR,3.0,3.0,3.0
EQT,19.0,10.0,19.0
ERH,13.0,9.0,13.0
ERIE,2.0,11.0,2.0
ES,5.0,8.0,5.0
ESS,4.0,3.0,4.0
ET,0.0,0.0,0.0
ETB,4.0,10.0,4.0
ETG,4.0,10.0,4.0
ETJ,3.0,11.0,3.0
ETN,5.0,7.0,5.0
ETO,4.0,10.0,4.0
ETR,16.0,7.0,16.0
ETV,3.0,10.0,3.0
ETW,4.0,9.0,4.0
ETY,4.0,11.0,4.0
EVT,5.0,11.0,5.0
EW,3.0,9.0,3.0
EWBC,2.0,12.0,2.0
EXC,9.0,9.0,9.0
EXG,4.0,10.0,4.0
EXP,22.0,9.0,22.0
EXPD,4.0,7.0,4.0
EXPE,2.0,14.0,2.0
EXR,4.0,4.0,4.0
F,9.0,11.0,9.0
FAST,11.0,9.0,11.0
FBIN,12.0,6.0,12.0
FCX,17.0,10.0,17.0
FDS,3.0,11.0,3.0
FDX,5.0,9.0,5.0
FE,13.0,10.0,13.0
FEN,0.0,0.0,0.0
FFA,3.0,10.0,3.0
FFC,2.0,10.0,2.0
FFIV,1.0,12.0,1.0
FIS,1.0,11.0,1.0
FISV,1.0,11.0,1.0
FITB,1.0,9.0,1.0
FL,2.0,7.0,2.0
FLC,2.0,11.0,2.0
FLEX,0.0,0.0,0.0
FLR,0.0,0.0,0.0
FLS,8.0,12.0,8.0
FLT,3.0,9.0,3.0
FMC,16.0,9.0,16.0
FNF,2.0,10.0,2.0
FNV,0.0,3.0,0.0
FOF,4.0,9.0,4.0
FPF,3.0,10.0,3.0
FPL,0.0,0.0,0.0
FRT,2.0,4.0,2.0
FTNT,1.0,12.0,1.0
FTS,14.0,8.0,14.0
FTV,16.0,14.0,16.0
FUND,7.0,7.0,7.0
GAB,5.0,9.0,5.0
GAM,4.0,9.0,4.0
GCV,0.0,0.0,0.0
GD,8.0,20.0,8.0
GDL,0.0,0.0,0.0
GDV,5.0,10.0,5.0
GE,14.0,15.0,14.0
GEN,1.0,9.0,1.0
GER,0.0,0.0,0.0
GF,4.0,7.0,4.0
GGG,9.0,14.0,9.0
GGT,2.0,9.0,2.0
GGZ,5.0,7.0,5.0
GIB,1.0,8.0,1.0
GIL,1.0,5.0,1.0
GILD,0.0,14.0,0.0
GIS,8.0,9.0,8.0
GL,2.0,8.0,2.0
GLO,3.0,8.0,3.0
GLPI,6.0,4.0,6.0
GLQ,3.0,8.0,3.0
GLU,8.0,9.0,8.0
GLV,3.0,8.0,3.0
GLW,7.0,5.0,7.0
GM,10.0,13.0,10.0
GNTX,6.0,10.0,6.0
GOLD,15.0,12.0,15.0
GOOGL,2.0,11.0,2.0
GPC,4.0,5.0,4.0
GPN,1.0,11.0,1.0
GPS,1.0,9.0,1.0
GRF,3.0,10.0,3.0
GRMN,5.0,8.0,5.0
GRX,4.0,10.0,4.0
GS,1.0,13.0,1.0
GT,0.0,0.0,0.0
GUT,10.0,8.0,10.0
GWW,3.0,5.0,3.0
H,14.0,11.0,14.0
HAL,9.0,9.0,9.0
HAS,0.0,3.0,0.0
HBAN,2.0,11.0,2.0
HBI,1.0,8.0,1.0
HCA,4.0,17.0,4.0
HD,3.0,6.0,3.0
HES,22.0,7.0,22.0
HIG,2.0,6.0,2.0
HLF,12.0,11.0,12.0
HLT,7.0,7.0,7.0
HOG,3.0,6.0,3.0
HOLX,5.0,13.0,5.0
HON,11.0,10.0,11.0
HP,0.0,0.0,0.0
HPE,1.0,5.0,1.0
HPF,8.0,10.0,8.0
HPI,8.0,10.0,8.0
HPQ,0.0,5.0,0.0
HPS,8.0,10.0,8.0
HQH,1.0,13.0,1.0
HQL,0.0,12.0,0.0
HRL,13.0,11.0,13.0
HSIC,2.0,6.0,2.0
HST,3.0,6.0,3.0
HSY,11.0,11.0,11.0
HTD,11.0,10.0,11.0
HUBB,10.0,11.0,10.0
HUM,0.0,16.0,0.0
HUN,15.0,6.0,15.0
IAC,3.0,15.0,3.0
IAE,6.0,10.0,6.0
IAF,5.0,11.0,5.0
IBM,0.0,7.0,0.0
ICE,2.0,8.0,2.0
ICL,15.0,8.0,15.0
IDE,9.0,9.0,9.0
IDXX,3.0,7.0,3.0
IEX,8.0,13.0,8.0
IFF,10.0,5.0,10.0
IFN,4.0,7.0,4.0
IGA,5.0,10.0,5.0
IGD,5.0,10.0,5.0
IGI,5.0,11.0,5.0
IGT,0.0,0.0,0.0
IHD,6.0,10.0,6.0
IIF,0.0,0.0,0.0
ILMN,1.0,4.0,1.0
IMO,16.0,8.0,16.0
INCY,1.0,16.0,1.0
INGR,13.0,10.0,13.0
INTC,4.0,6.0,4.0
INTU,1.0,11.0,1.0
IONS,2.0,19.0,2.0
IP,14.0,4.0,14.0
IPG,0.0,5.0,0.0
IPGP,4.0,3.0,4.0
IQV,1.0,11.0,1.0
IRM,5.0,4.0,5.0
ISRG,4.0,10.0,4.0
IT,0.0,15.0,0.0
ITW,4.0,9.0,4.0
IVZ,1.0,10.0,1.0
J,5.0,11.0,5.0
JAZZ,2.0,16.0,2.0
JBHT,3.0,6.0,3.0
JCE,4.0,10.0,4.0
JCI,5.0,5.0,5.0
JEF,2.0,9.0,2.0
JEQ,4.0,8.0,4.0
JHS,4.0,11.0,4.0
JKHY,1.0,9.0,1.0
JLL,1.0,2.0,1.0
JNJ,1.0,16.0,1.0
JNPR,2.0,9.0,2.0
JPC,3.0,11.0,3.0
JPM,1.0,16.0,1.0
JPS,2.0,11.0,2.0
JRS,4.0,4.0,4.0
JWN,3.0,9.0,3.0
K,7.0,15.0,7.0
KAR,0.0,0.0,0.0
KEY,2.0,11.0,2.0
KEYS,2.0,2.0,2.0
KF,7.0,9.0,7.0
KHC,14.0,14.0,14.0
KIM,4.0,3.0,4.0
KLAC,7.0,5.0,7.0
KMB,8.0,8.0,8.0
KMF,8.0,7.0,8.0
KMI,8.0,7.0,8.0
KMX,0.0,8.0,0.0
KO,8.0,10.0,8.0
KR,7.0,9.0,7.0
KSS,2.0,6.0,2.0
KYN,0.0,0.0,0.0
L,1.0,4.0,1.0
LAMR,0.0,10.0,0.0
LAZ,1.0,10.0,1.0
LBRDK,2.0,11.0,2.0
LBTYA,6.0,10.0,6.0
LDOS,1.0,5.0,1.0
LEA,3.0,4.0,3.0
LECO,8.0,9.0,8.0
LEG,6.0,4.0,6.0
LEN,9.0,9.0,9.0
LGI,3.0,9.0,3.0
LH,0.0,12.0,0.0
LII,10.0,5.0,10.0
LKQ,3.0,4.0,3.0
LLY,3.0,17.0,3.0
LMT,5.0,16.0,5.0
LNC,2.0,6.0,2.0
LNG,11.0,8.0,11.0
LNT,10.0,6.0,10.0
LOW,4.0,5.0,4.0
LRCX,4.0,4.0,4.0
LSXMK,1.0,9.0,1.0
LULU,2.0,10.0,2.0
LUMN,5.0,12.0,5.0
LUV,11.0,15.0,11.0
LVS,1.0,8.0,1.0
LYB,17.0,2.0,17.0
M,0.0,0.0,0.0
MA,0.0,8.0,0.0
MAA,6.0,4.0,6.0
MAC,0.0,0.0,0.0
MAN,0.0,6.0,0.0
MAR,9.0,9.0,9.0
MAS,9.0,6.0,9.0
MAT,1.0,10.0,1.0
MCD,4.0,14.0,4.0
MCHP,15.0,9.0,15.0
MCK,2.0,7.0,2.0
MCN,7.0,11.0,7.0
MCO,0.0,5.0,0.0
MD,0.0,0.0,0.0
MDLZ,9.0,9.0,9.0
MDT,2.0,13.0,2.0
MDU,21.0,7.0,21.0
MET,1.0,5.0,1.0
META,1.0,21.0,1.0
MFC,1.0,8.0,1.0
MFD,7.0,8.0,7.0
MFV,4.0,9.0,4.0
MGA,4.0,9.0,4.0
MGM,2.0,13.0,2.0
MHK,6.0,4.0,6.0
MIDD,9.0,14.0,9.0
MKC,10.0,11.0,10.0
MKL,2.0,11.0,2.0
MLCO,2.0,8.0,2.0
MLM,19.0,5.0,19.0
MMC,0.0,8.0,0.0
MMM,12.0,14.0,12.0
MNST,12.0,11.0,12.0
MO,5.0,13.0,5.0
MOS,14.0,11.0,14.0
MPC,16.0,7.0,16.0
MRK,1.0,11.0,1.0
MRO,24.0,10.0,24.0
MRVL,6.0,7.0,6.0
MS,1.0,12.0,1.0
MSCI,2.0,7.0,2.0
MSFT,2.0,8.0,2.0
MSI,2.0,7.0,2.0
MSM,4.0,7.0,4.0
MTB,2.0,13.0,2.0
MTD,1.0,7.0,1.0
MU,7.0,5.0,7.0
MXE,9.0,9.0,9.0
NCLH,12.0,10.0,12.0
NCR,3.0,10.0,3.0
NCV,5.0,8.0,5.0
NCZ,5.0,8.0,5.0
NDAQ,2.0,5.0,2.0
NDSN,9.0,12.0,9.0
NEE,14.0,8.0,14.0
NEM,7.0,8.0,7.0
NEU,18.0,10.0,18.0
NFJ,4.0,10.0,4.0
NFLX,0.0,7.0,0.0
NI,14.0,10.0,14.0
NIE,3.0,10.0,3.0
NKE,3.0,7.0,3.0
NLY,8.0,4.0,8.0
NML,0.0,0.0,0.0
NOC,7.0,15.0,7.0
NOV,13.0,12.0,13.0
NOW,1.0,8.0,1.0
NRG,17.0,9.0,17.0
NRO,4.0,4.0,4.0
NSC,8.0,11.0,8.0
NTAP,3.0,7.0,3.0
NTR,13.0,8.0,13.0
NTRS,2.0,12.0,2.0
NUE,10.0,13.0,10.0
NVDA,2.0,5.0,2.0
NVR,7.0,8.0,7.0
NWL,6.0,4.0,6.0
NWSA,0.0,5.0,0.0
NXPI,9.0,7.0,9.0
NYCB,4.0,12.0,4.0
O,4.0,5.0,4.0
OC,8.0,3.0,8.0
OGE,16.0,11.0,16.0
OHI,7.0,5.0,7.0
OKE,12.0,11.0,12.0
OMC,0.0,9.0,0.0
ON,15.0,6.0,15.0
ORCL,1.0,8.0,1.0
ORI,2.0,11.0,2.0
ORLY,0.0,9.0,0.0
OTEX,5.0,8.0,5.0
OXY,25.0,12.0,25.0
PACW,2.0,10.0,2.0
PAI,6.0,11.0,6.0
PANW,1.0,8.0,1.0
PARAA,0.0,8.0,0.0
PAYX,1.0,10.0,1.0
PBA,11.0,7.0,11.0
PCAR,8.0,11.0,8.0
PCG,8.0,21.0,8.0
PDT,10.0,10.0,10.0
PEAK,3.0,2.0,3.0
PEG,12.0,9.0,12.0
PEO,15.0,9.0,15.0
PEP,5.0,7.0,5.0
PFD,2.0,10.0,2.0
PFE,3.0,13.0,3.0
PFG,1.0,7.0,1.0
PFO,2.0,10.0,2.0
PG,10.0,10.0,10.0
PGR,2.0,8.0,2.0
PH,9.0,14.0,9.0
PHM,9.0,7.0,9.0
PII,0.0,6.0,0.0
PKG,12.0,1.0,12.0
PKI,1.0,10.0,1.0
PLD,2.0,2.0,2.0
PM,4.0,11.0,4.0
PNC,2.0,12.0,2.0
PNR,7.0,10.0,7.0
PNW,15.0,10.0,15.0
PPG,9.0,8.0,9.0
PPL,20.0,8.0,20.0
PRGO,4.0,21.0,4.0
PRU,1.0,7.0,1.0
PSA,5.0,3.0,5.0
PSF,4.0,11.0,4.0
PSX,16.0,7.0,16.0
PTC,5.0,9.0,5.0
PVH,1.0,10.0,1.0
PWR,12.0,16.0,12.0
PXD,19.0,9.0,19.0
PYPL,1.0,10.0,1.0
QCOM,5.0,4.0,5.0
QGEN,2.0,7.0,2.0
QQQX,2.0,10.0,2.0
QRVO,13.0,8.0,13.0
QSR,5.0,14.0,5.0
RACE,6.0,12.0,6.0
RAD,0.0,0.0,0.0
RCI,5.0,12.0,5.0
RCL,9.0,8.0,9.0
RE,1.0,7.0,1.0
REG,4.0,3.0,4.0
REGN,0.0,11.0,0.0
RF,2.0,7.0,2.0
RFI,5.0,5.0,5.0
RGA,3.0,8.0,3.0
RHI,0.0,7.0,0.0
RIG,0.0,0.0,0.0
RJF,1.0,10.0,1.0
RL,1.0,7.0,1.0
RMD,3.0,12.0,3.0
RMT,0.0,0.0,0.0
RNP,4.0,7.0,4.0
RNR,3.0,10.0,3.0
ROK,5.0,7.0,5.0
ROL,2.0,11.0,2.0
ROP,5.0,13.0,5.0
ROST,2.0,8.0,2.0
RPM,19.0,12.0,19.0
RQI,5.0,5.0,5.0
RRC,26.0,10.0,26.0
RS,7.0,7.0,7.0
RSG,11.0,6.0,11.0
RVT,0.0,0.0,0.0
RY,1.0,11.0,1.0
SABR,1.0,14.0,1.0
SATS,2.0,11.0,2.0
SBAC,3.0,3.0,3.0
SBUX,6.0,14.0,6.0
SCCO,17.0,8.0,17.0
SCD,4.0,8.0,4.0
SCHW,2.0,10.0,2.0
SCI,0.0,10.0,0.0
SEE,16.0,2.0,16.0
SEIC,1.0,8.0,1.0
SGEN,2.0,17.0,2.0
SHW,13.0,9.0,13.0
SIG,0.0,0.0,0.0
SIRI,0.0,8.0,0.0
SITC,0.0,0.0,0.0
SIX,13.0,9.0,13.0
SJM,12.0,12.0,12.0
SLB,7.0,9.0,7.0
SLF,0.0,7.0,0.0
SLG,3.0,3.0,3.0
SLM,0.0,12.0,0.0
SMG,15.0,12.0,15.0
SNA,9.0,14.0,9.0
SNPS,3.0,6.0,3.0
SNV,2.0,10.0,2.0
SO,15.0,11.0,15.0
SON,12.0,2.0,12.0
SPG,4.0,4.0,4.0
SPGI,0.0,6.0,0.0
SPLK,1.0,11.0,1.0
SPR,11.2,11.3,11.2
SPXX,3.4,10.4,3.4
SQ,1.1,10.9,1.1
SRCL,15.1,7.4,15.1
SRE,12.1,7.1,12.1
SSNC,4.8,11.3,4.8
ST,3.8,3.2,3.8
STK,3.0,7.4,3.0
STLD,9.8,14.4,9.8
STT,2.0,11.2,2.0
STX,1.6,3.8,1.6
STZ,10.4,10.0,10.4
SU,19.6,6.1,19.6
SWK,6.0,13.0,6.0
SWKS,12.0,9.0,12.0
SWZ,3.0,10.0,3.0
SYF,0.0,10.0,0.0
SYK,4.0,14.0,4.0
SYY,3.0,5.0,3.0
T,2.0,13.0,2.0
TAL,0.0,11.0,0.0
TAP,7.0,9.0,7.0
TCOM,3.0,11.0,3.0
TD,1.0,12.0,1.0
TDG,13.0,18.0,13.0
TECK,12.0,7.0,12.0
TEF,2.0,9.0,2.0
TEL,6.0,5.0,6.0
TER,6.0,5.0,6.0
TFX,5.0,16.0,5.0
TGNA,0.0,0.0,0.0
TGT,2.0,8.0,2.0
THO,7.0,15.0,7.0
THQ,2.0,14.0,2.0
TJX,2.0,7.0,2.0
TMO,1.0,6.0,1.0
TMUS,5.0,13.0,5.0
TNL,10.0,11.0,10.0
TOL,10.0,8.0,10.0
TPR,1.0,7.0,1.0
TRGP,15.0,15.0,15.0
TRI,0.0,3.0,0.0
TRIP,1.0,15.0,1.0
TRMB,3.0,4.0,3.0
TROW,2.0,9.0,2.0
TRP,11.0,9.0,11.0
TRV,1.0,9.0,1.0
TSCO,3.0,7.0,3.0
TSLA,3.0,16.0,3.0
TSN,14.0,12.0,14.0
TT,7.0,4.0,7.0
TTC,6.0,9.0,6.0
TU,3.0,10.0,3.0
TWN,0.0,0.0,0.0
TXN,9.0,5.0,9.0
TXT,11.0,16.0,11.0
TY,4.0,9.0,4.0
TYG,0.0,0.0,0.0
UAA,2.0,8.0,2.0
UAL,11.0,13.0,11.0
UBS,1.0,11.0,1.0
UDR,3.0,4.0,3.0
UGI,15.0,12.0,15.0
UHAL,7.0,9.0,7.0
UHS,4.0,21.0,4.0
ULTA,4.0,7.0,4.0
UNH,0.0,12.0,0.0
UNM,1.0,9.0,1.0
UNP,9.0,12.0,9.0
UPS,5.0,10.0,5.0
URI,6.0,7.0,6.0
USA,4.0,10.0,4.0
USB,2.0,16.0,2.0
UTG,9.0,9.0,9.0
UTHR,2.0,17.0,2.0
V,1.0,8.0,1.0
VFC,1.0,7.0,1.0
VIPS,8.0,8.0,8.0
VLO,18.0,7.0,18.0
VMC,16.0,5.0,16.0
VMW,3.0,7.0,3.0
VNO,3.0,4.0,3.0
VOYA,2.0,12.0,2.0
VRSK,0.0,14.0,0.0
VRSN,5.0,11.0,5.0
VRTX,1.0,15.0,1.0
VTR,3.0,4.0,3.0
VZ,4.0,9.0,4.0
WAB,5.0,12.0,5.0
WAT,1.0,9.0,1.0
WBA,2.0,12.0,2.0
WCN,10.0,6.0,10.0
WDAY,1.0,6.0,1.0
WDC,1.0,4.0,1.0
WEC,15.0,7.0,15.0
WELL,4.0,3.0,4.0
WFC,2.0,15.0,2.0
WFRD,0.0,0.0,0.0
WHR,5.0,7.0,5.0
WLK,19.0,3.0,19.0
WM,8.0,5.0,8.0
WMB,10.0,10.0,10.0
WMT,4.0,14.0,4.0
WPC,4.0,5.0,4.0
WPM,0.0,3.0,0.0
WRB,2.0,8.0,2.0
WTRG,9.0,11.0,9.0
WTW,0.0,9.0,0.0
WU,1.0,6.0,1.0
WY,10.0,3.0,10.0
WYNN,4.0,12.0,4.0
X,16.0,10.0,16.0
XEL,13.0,7.0,13.0
XOM,19.0,10.0,19.0
XRAY,2.0,7.0,2.0
XYL,4.0,7.0,4.0
YUM,4.0,12.0,4.0
Z,1.0,13.0,1.0
ZBH,4.0,15.0,4.0
ZTR,9.0,9.0,9.0
ZTS,1.0,8.0,1.0
